"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Enteroscape_v4.1.nlogo"
"parameter sweep (adhesion/deadhesion)"
"12/20/2024 23:23:39:968 -0800"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-10","10"
"[run number]","Eat","Yeast-Speed","Yeast-intake-prob","Yeast-adhesion-prob","Yeast-deadhesion-Prob","Yeast-biofilm-secretion-rate","Beneficial-Microbe-Speed","Beneficial-Microbe-intake-prob","Beneficial-Microbe-adhesion-prob","Beneficial-Microbe-deadhesion-Prob","Beneficial-Microbe-molecule-secretion-rate","Beneficial-Microbe-molecule-degradation-rate","Worm-Death-Probability","[step]","count turtles","ticks","g-death-tracker","g-pharynx-inflammation"
"178","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1700","534","1701","2","38"
"167","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3318","1105","3319","2","43"
"176","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2705","847","2706","1","39"
"163","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","4090","1437","4091","1","43"
"172","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3169","1008","3170","1","42"
"171","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3404","1117","3405","2","44"
"180","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2165","696","2166","1","41"
"185","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1606","521","1607","1","34"
"181","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2078","669","2079","2","40"
"182","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2358","775","2359","1","40"
"166","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","4469","1474","4470","2","44"
"183","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2676","860","2677","1","40"
"189","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1920","616","1921","1","38"
"179","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3156","1081","3157","2","42"
"184","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3247","1084","3248","1","42"
"193","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","1794","594","1795","1","38"
"175","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","4206","1397","4207","1","41"
"186","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3225","1045","3226","2","41"
"192","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2600","834","2601","1","41"
"191","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2274","768","2275","1","42"
"194","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2414","733","2415","2","41"
"196","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2156","689","2157","1","39"
"201","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","1284","394","1285","1","28"
"199","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2121","691","2122","1","36"
"203","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","1621","504","1622","1","35"
"198","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2555","840","2556","1","39"
"207","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","1261","364","1262","2","27"
"205","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","1911","584","1912","1","35"
"195","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3242","1051","3243","1","43"
"190","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","3852","1279","3853","2","43"
"206","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","1661","503","1662","2","37"
"200","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","2845","983","2846","1","41"
"188","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","4333","1385","4334","1","42"
"187","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","4248","1455","4249","2","43"
"209","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","1384","402","1385","2","28"
"202","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","2629","834","2630","2","42"
"211","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","2161","649","2162","2","40"
"210","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","2301","703","2302","2","42"
"197","true","0.59","34","20","25","0.04","0.59","0","53","36","0.9","0.2","0.02","4031","1319","4032","2","44"
"208","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","2561","788","2562","1","41"
"204","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","3134","1019","3135","2","42"
"213","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","2385","697","2386","1","40"
"217","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","2266","647","2267","2","36"
"212","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","2582","787","2583","1","42"
"215","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","2365","752","2366","1","39"
"216","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","2429","775","2430","2","42"
"221","true","0.59","34","20","30","0.04","0.59","0","53","36","0.9","0.2","0.02","1446","419","1447","2","31"
